x1,x2,y1
0.0345,0.0345,6.614816506
0.069,0.0345,9.887637906
0.1034,0.0345,12.41662346
0.1379,0.0345,14.12686897
0.1724,0.0345,15.12613156
0.2069,0.0345,15.59999413
0.2414,0.0345,15.72063317
0.2759,0.0345,15.61907374
0.3103,0.0345,15.38645575
0.3448,0.0345,15.08027772
0.3793,0.0345,14.738312
0.4138,0.0345,14.38348262
0.4483,0.0345,14.02954672
0.4828,0.0345,13.68448681
0.5172,0.0345,13.35362421
0.5517,0.0345,13.037188
0.5862,0.0345,12.73696008
0.6207,0.0345,12.45292359
0.6552,0.0345,12.18458729
0.6897,0.0345,11.93119941
0.7241,0.0345,11.69255485
0.7586,0.0345,11.46634332
0.7931,0.0345,11.25235694
0.8276,0.0345,11.04970647
0.8621,0.0345,10.85755076
0.8966,0.0345,10.67510438
0.931,0.0345,10.50213065
0.9655,0.0345,10.33695606
0.0345,0.069,6.61010514
0.069,0.069,9.880595491
0.1034,0.069,12.40777979
0.1379,0.069,14.11680719
0.1724,0.069,15.11535806
0.2069,0.069,15.58888312
0.2414,0.069,15.70943623
0.2759,0.069,15.60794914
0.3103,0.069,15.37549684
0.3448,0.069,15.06953688
0.3793,0.069,14.72781472
0.4138,0.069,14.37323806
0.4483,0.069,14.01955425
0.4828,0.069,13.67474011
0.5172,0.069,13.34411316
0.5517,0.069,13.02790233
0.5862,0.069,12.72788825
0.6207,0.069,12.44405406
0.6552,0.069,12.17590888
0.6897,0.069,11.92270148
0.7241,0.069,11.6842269
0.7586,0.069,11.45817648
0.7931,0.069,11.24434251
0.8276,0.069,11.04183638
0.8621,0.069,10.84981753
0.8966,0.069,10.66750109
0.931,0.069,10.49465057
0.9655,0.069,10.32959362
0.0345,0.1034,6.562284957
0.069,0.1034,9.809115253
0.1034,0.1034,12.31801687
0.1379,0.1034,14.01468048
0.1724,0.1034,15.00600742
0.2069,0.1034,15.47610681
0.2414,0.1034,15.5957878
0.2759,0.1034,15.4950349
0.3103,0.1034,15.26426425
0.3448,0.1034,14.96051773
0.3793,0.1034,14.62126773
0.4138,0.1034,14.26925623
0.4483,0.1034,13.91813111
0.4828,0.1034,13.57581149
0.5172,0.1034,13.24757643
0.5517,0.1034,12.9336532
0.5862,0.1034,12.63580954
0.6207,0.1034,12.35402872
0.6552,0.1034,12.08782342
0.6897,0.1034,11.83644782
0.7241,0.1034,11.59969846
0.7586,0.1034,11.37528338
0.7931,0.1034,11.16299638
0.8276,0.1034,10.96195525
0.8621,0.1034,10.77132555
0.8966,0.1034,10.59032806
0.931,0.1034,10.41872801
0.9655,0.1034,10.25486515
0.0345,0.1379,6.43868464
0.069,0.1379,9.624361046
0.1034,0.1379,12.08600763
0.1379,0.1379,13.75071465
0.1724,0.1379,14.72337
0.2069,0.1379,15.1846151
0.2414,0.1379,15.30204189
0.2759,0.1379,15.20318667
0.3103,0.1379,14.97676258
0.3448,0.1379,14.67873711
0.3793,0.1379,14.34587687
0.4138,0.1379,14.00049548
0.4483,0.1379,13.65598379
0.4828,0.1379,13.32011174
0.5172,0.1379,12.99805898
0.5517,0.1379,12.69004848
0.5862,0.1379,12.39781468
0.6207,0.1379,12.12134119
0.6552,0.1379,11.86014985
0.6897,0.1379,11.6135089
0.7241,0.1379,11.3812187
0.7586,0.1379,11.16103047
0.7931,0.1379,10.95274188
0.8276,0.1379,10.75548736
0.8621,0.1379,10.56844815
0.8966,0.1379,10.39085975
0.931,0.1379,10.22249177
0.9655,0.1379,10.06171526
0.0345,0.1724,6.250935615
0.069,0.1724,9.343719192
0.1034,0.1724,11.73358531
0.1379,0.1724,13.34975026
0.1724,0.1724,14.29404344
