x1,x2,y1,y2
-1,-1,40,104.895
-1,-0.9678,40.31837106,104.3038001
-1,-0.9354,40.63139394,103.6712117
-1,-0.9032,40.93520416,103.0050443
-1,-0.871,41.2317565,102.3015092
-1,-0.8388,41.52105096,101.5606064
-1,-0.8064,41.80481664,100.7773851
-1,-0.7742,42.07955026,99.96151477
-1,-0.742,42.347026,99.10827672
-1,-0.7096,42.60883744,98.21202248
-1,-0.6774,42.86175234,97.2838169
-1,-0.6452,43.10740936,96.31824362
-1,-0.613,43.3458085,95.31530262
-1,-0.5806,43.57836274,94.26841559
-1,-0.5484,43.80220104,93.19050707
-1,-0.5162,44.01878146,92.07523083
-1,-0.4838,44.22938146,90.91531083
-1,-0.4516,44.43140104,89.72506707
-1,-0.4194,44.62616274,88.49745559
-1,-0.387,44.8148085,87.22450262
-1,-0.3548,44.99500936,85.92192362
-1,-0.3226,45.16795234,84.5819769
-1,-0.2904,45.33363744,83.20466248
-1,-0.258,45.493026,81.78107672
-1,-0.2258,45.64415026,80.32879477
-1,-0.1936,45.78801664,78.8391451
-1,-0.1612,45.92545096,77.30252637
-1,-0.129,46.0547565,75.73790918
-1,-0.0968,46.17680416,74.13592428
-1,-0.0646,46.29159394,72.49657166
-1,-0.0322,46.39977106,70.80932014
-1,0,46.5,69.095
-1,0.0322,46.59297106,67.34331214
-1,0.0646,46.67919394,65.54302766
-1,0.0968,46.75760416,63.71637228
-1,0.129,46.8287565,61.85234918
-1,0.1612,46.89265096,59.95095837
-1,0.1936,46.94961664,58.0000411
-1,0.2258,46.99895026,56.02368277
-1,0.258,47.041026,54.00995672
-1,0.2904,47.07603744,51.94600648
-1,0.3226,47.10355234,49.8573129
-1,0.3548,47.12380936,47.73125162
-1,0.387,47.1368085,45.56782262
-1,0.4194,47.14256274,43.35323959
-1,0.4516,47.14100104,41.11484307
-1,0.4838,47.13218146,38.83907883
-1,0.5162,47.11598146,36.51146283
-1,0.5484,47.09260104,34.16073107
-1,0.5806,47.06196274,31.77263159
-1,0.613,47.0238085,29.33198262
-1,0.6452,46.97860936,26.86891562
-1,0.6774,46.92615234,24.3684809
-1,0.7096,46.86643744,21.83067848
-1,0.742,46.799026,19.23939672
-1,0.7742,46.72475026,16.62662677
-1,0.8064,46.64321664,13.9764891
-1,0.8388,46.55385096,11.27217437
-1,0.871,46.4577565,8.54706918
-1,0.9032,46.35440416,5.784596275
-1,0.9354,46.24379394,2.984755657
-1,0.9678,46.12517106,0.129808143
-1,1,46,-2.745
-0.9678,-1,40.31837106,105.1071917
-0.9678,-0.9678,40.6336316,104.5283095
-0.9678,-0.9354,40.94352464,103.9081152
-0.9678,-0.9032,41.24422434,103.2542654
-0.9678,-0.871,41.53766616,102.563048
-0.9678,-0.8388,41.8238501,101.8344629
-0.9678,-0.8064,42.10448594,101.0636358
-0.9678,-0.7742,42.37610904,100.2600831
-0.9678,-0.742,42.64047426,99.4191627
-0.9678,-0.7096,42.89915586,98.53530262
-0.9678,-0.6774,43.14896024,97.61941471
-0.9678,-0.6452,43.39150674,96.66615908
-0.9678,-0.613,43.62679536,95.67553574
-0.9678,-0.5806,43.85621976,94.64104288
-0.9678,-0.5484,44.07694754,93.57545202
-0.9678,-0.5162,44.29041744,92.47249344
-0.9678,-0.4838,44.4978876,91.3249676
-0.9678,-0.4516,44.69679666,90.1470415
