x1,x2,y1
-1,-1,40
-1,-0.9678,40.31837106
-1,-0.9354,40.63139394
-1,-0.9032,40.93520416
-1,-0.871,41.2317565
-1,-0.8388,41.52105096
-1,-0.8064,41.80481664
-1,-0.7742,42.07955026
-1,-0.742,42.347026
-1,-0.7096,42.60883744
-1,-0.6774,42.86175234
-1,-0.6452,43.10740936
-1,-0.613,43.3458085
-1,-0.5806,43.57836274
-1,-0.5484,43.80220104
-1,-0.5162,44.01878146
-1,-0.4838,44.22938146
-1,-0.4516,44.43140104
-1,-0.4194,44.62616274
-1,-0.387,44.8148085
-1,-0.3548,44.99500936
-1,-0.3226,45.16795234
-1,-0.2904,45.33363744
-1,-0.258,45.493026
-1,-0.2258,45.64415026
-1,-0.1936,45.78801664
-1,-0.1612,45.92545096
-1,-0.129,46.0547565
-1,-0.0968,46.17680416
-1,-0.0646,46.29159394
-1,-0.0322,46.39977106
-1,0,46.5
-1,0.0322,46.59297106
-1,0.0646,46.67919394
-1,0.0968,46.75760416
-1,0.129,46.8287565
-1,0.1612,46.89265096
-1,0.1936,46.94961664
-1,0.2258,46.99895026
-1,0.258,47.041026
-1,0.2904,47.07603744
-1,0.3226,47.10355234
-1,0.3548,47.12380936
-1,0.387,47.1368085
-1,0.4194,47.14256274
-1,0.4516,47.14100104
-1,0.4838,47.13218146
-1,0.5162,47.11598146
-1,0.5484,47.09260104
-1,0.5806,47.06196274
-1,0.613,47.0238085
-1,0.6452,46.97860936
-1,0.6774,46.92615234
-1,0.7096,46.86643744
-1,0.742,46.799026
-1,0.7742,46.72475026
-1,0.8064,46.64321664
-1,0.8388,46.55385096
-1,0.871,46.4577565
-1,0.9032,46.35440416
-1,0.9354,46.24379394
-1,0.9678,46.12517106
-1,1,46
-0.9678,-1,40.31837106
-0.9678,-0.9678,40.6336316
-0.9678,-0.9354,40.94352464
-0.9678,-0.9032,41.24422434
-0.9678,-0.871,41.53766616
-0.9678,-0.8388,41.8238501
-0.9678,-0.8064,42.10448594
-0.9678,-0.7742,42.37610904
-0.9678,-0.742,42.64047426
-0.9678,-0.7096,42.89915586
-0.9678,-0.6774,43.14896024
-0.9678,-0.6452,43.39150674
-0.9678,-0.613,43.62679536
-0.9678,-0.5806,43.85621976
-0.9678,-0.5484,44.07694754
-0.9678,-0.5162,44.29041744
-0.9678,-0.4838,44.4978876
-0.9678,-0.4516,44.69679666
