x1,x2,y1
0.0161,0.0161,4.692874124
0.0323,0.0161,6.388692047
0.0484,0.0161,8.00382706
0.0645,0.0161,9.497314691
0.0806,0.0161,10.83268657
0.0968,0.0161,11.99619763
0.1129,0.0161,12.96768353
0.129,0.0161,13.76055474
0.1452,0.0161,14.39164926
0.1613,0.0161,14.8711101
0.1774,0.0161,15.22292415
0.1935,0.0161,15.46656224
0.2097,0.0161,15.62091671
0.2258,0.0161,15.7004429
0.2419,0.0161,15.72049286
0.2581,0.0161,15.6927892
0.2742,0.0161,15.62777242
0.2903,0.0161,15.53369989
0.3065,0.0161,15.41657432
0.3226,0.0161,15.28337209
0.3387,0.0161,15.13786707
0.3548,0.0161,14.98361551
0.371,0.0161,14.82244689
0.3871,0.0161,14.65861412
0.4032,0.0161,14.49291478
0.4194,0.0161,14.32571239
0.4355,0.0161,14.16016304
0.4516,0.0161,13.99607323
0.4677,0.0161,13.83408331
0.4839,0.0161,13.6736938
0.5,0.0161,13.51724138
0.5161,0.0161,13.36398094
0.5323,0.0161,13.21316539
0.5484,0.0161,13.06676656
0.5645,0.0161,12.92390186
0.5806,0.0161,12.78459084
0.5968,0.0161,12.64799
0.6129,0.0161,12.51575046
0.629,0.0161,12.38696467
0.6452,0.0161,12.26079708
0.6613,0.0161,12.13872769
0.6774,0.0161,12.01988275
0.6935,0.0161,11.90417284
0.7097,0.0161,11.79081493
0.7258,0.0161,11.68111381
0.7419,0.0161,11.57426568
0.7581,0.0161,11.46953807
0.7742,0.0161,11.36813017
0.7903,0.0161,11.26929533
0.8065,0.0161,11.17235301
0.8226,0.0161,11.07841216
0.8387,0.0161,10.98678186
0.8548,0.0161,10.89737988
0.871,0.0161,10.80959129
0.8871,0.0161,10.72442277
0.9032,0.0161,10.64125188
0.9194,0.0161,10.55950869
0.9355,0.0161,10.4801336
0.9516,0.0161,10.40255035
0.9677,0.0161,10.32669582
0.9839,0.0161,10.25205373
0.0161,0.0323,4.692873236
0.0323,0.0323,6.388690838
0.0484,0.0323,8.003825545
0.0645,0.0323,9.497312893
0.0806,0.0323,10.83268452
0.0968,0.0323,11.99619536
0.1129,0.0323,12.96768107
0.129,0.0323,13.76055214
0.1452,0.0323,14.39164654
0.1613,0.0323,14.87110729
0.1774,0.0323,15.22292127
0.1935,0.0323,15.46655931
0.2097,0.0323,15.62091376
0.2258,0.0323,15.70043993
0.2419,0.0323,15.72048988
0.2581,0.0323,15.69278623
0.2742,0.0323,15.62776946
0.2903,0.0323,15.53369694
0.3065,0.0323,15.4165714
0.3226,0.0323,15.2833692
0.3387,0.0323,15.13786421
0.3548,0.0323,14.98361267
0.371,0.0323,14.82244408
0.3871,0.0323,14.65861135
0.4032,0.0323,14.49291203
0.4194,0.0323,14.32570968
0.4355,0.0323,14.16016036
0.4516,0.0323,13.99607058
0.4677,0.0323,13.83408069
0.4839,0.0323,13.67369122
0.5,0.0323,13.51723882
0.5161,0.0323,13.36397841
0.5323,0.0323,13.21316289
0.5484,0.0323,13.06676409
0.5645,0.0323,12.92389942
0.5806,0.0323,12.78458842
0.5968,0.0323,12.6479876
0.6129,0.0323,12.51574809
0.629,0.0323,12.38696232
0.6452,0.0323,12.26079476
0.6613,0.0323,12.13872539
0.6774,0.0323,12.01988047
0.6935,0.0323,11.90417058
0.7097,0.0323,11.79081269
0.7258,0.0323,11.6811116
0.7419,0.0323,11.57426349
0.7581,0.0323,11.4695359
0.7742,0.0323,11.36812801
0.7903,0.0323,11.2692932
0.8065,0.0323,11.17235089
0.8226,0.0323,11.07841006
0.8387,0.0323,10.98677978
0.8548,0.0323,10.89737781
0.871,0.0323,10.80958924
0.8871,0.0323,10.72442074
0.9032,0.0323,10.64124987
0.9194,0.0323,10.5595067
0.9355,0.0323,10.48013162
0.9516,0.0323,10.40254838
0.9677,0.0323,10.32669387
0.9839,0.0323,10.25205179
0.0161,0.0484,4.692721042
0.0323,0.0484,6.388483647
0.0484,0.0484,8.003565974
0.0645,0.0484,9.497004887
0.0806,0.0484,10.8323332
0.0968,0.0484,11.99580631
0.1129,0.0484,12.96726052
0.129,0.0484,13.76010587
0.1452,0.0484,14.3911798
0.1613,0.0484,14.870625
0.1774,0.0484,15.22242757
0.1935,0.0484,15.46605772
0.2097,0.0484,15.62040716
0.2258,0.0484,15.69993075
0.2419,0.0484,15.71998005
0.2581,0.0484,15.6922773
0.2742,0.0484,15.62726264
0.2903,0.0484,15.53319317
0.3065,0.0484,15.41607142
0.3226,0.0484,15.28287355
0.3387,0.0484,15.13737327
0.3548,0.0484,14.98312674
0.371,0.0484,14.82196338
0.3871,0.0484,14.65813596
0.4032,0.0484,14.49244202
0.4194,0.0484,14.32524508
0.4355,0.0484,14.15970114
0.4516,0.0484,13.99561668
0.4677,0.0484,13.83363204
0.4839,0.0484,13.67324777
0.5,0.0484,13.51680044
0.5161,0.0484,13.36354501
0.5323,0.0484,13.21273438
0.5484,0.0484,13.06634032
0.5645,0.0484,12.92348028
0.5806,0.0484,12.78417381
0.5968,0.0484,12.64757742
0.6129,0.0484,12.51534219
0.629,0.0484,12.3865606
0.6452,0.0484,12.26039713
0.6613,0.0484,12.13833172
0.6774,0.0484,12.01949066
0.6935,0.0484,11.90378452
0.7097,0.0484,11.79043031
0.7258,0.0484,11.68073277
0.7419,0.0484,11.57388812
0.7581,0.0484,11.46916393
0.7742,0.0484,11.36775934
0.7903,0.0484,11.26892773
0.8065,0.0484,11.17198856
0.8226,0.0484,11.07805078
0.8387,0.0484,10.98642347
0.8548,0.0484,10.8970244
0.871,0.0484,10.80923868
0.8871,0.0484,10.72407294
0.9032,0.0484,10.64090476
0.9194,0.0484,10.55916424
0.9355,0.0484,10.47979174
0.9516,0.0484,10.40221102
0.9677,0.0484,10.32635896
0.9839,0.0484,10.25171931
0.0161,0.0645,4.690856618
0.0323,0.0645,6.385945493
0.0484,0.0645,8.000386146
0.0645,0.0645,9.493231714
0.0806,0.0645,10.8280295
0.0968,0.0645,11.99104036
0.1129,0.0645,12.96210861
0.129,0.0645,13.75463896
0.1452,0.0645,14.38546217
0.1613,0.0645,14.86471688
0.1774,0.0645,15.21637968
0.1935,0.0645,15.45991303
0.2097,0.0645,15.61420115
0.2258,0.0645,15.69369315
0.2419,0.0645,15.71373448
0.2581,0.0645,15.68604274
0.2742,0.0645,15.62105391
0.2903,0.0645,15.52702181
0.3065,0.0645,15.4099466
0.3226,0.0645,15.27680164
0.3387,0.0645,15.13135917
