x1,x2,y1
-1,-1,40
-1,-0.9678,40.32148158
-1,-0.9354,40.64391342
-1,-0.9032,40.96331488
-1,-0.871,41.2816795
-1,-0.8388,41.59900728
-1,-0.8064,41.91725952
-1,-0.7742,42.23250718
-1,-0.742,42.546718
-1,-0.7096,42.86183392
-1,-0.6774,43.17396462
-1,-0.6452,43.48505848
-1,-0.613,43.7951155
-1,-0.5806,44.10605182
-1,-0.5484,44.41402872
-1,-0.5162,44.72096878
-1,-0.4838,45.02876878
-1,-0.4516,45.33362872
-1,-0.4194,45.63745182
-1,-0.387,45.9421155
-1,-0.3548,46.24385848
-1,-0.3226,46.54456462
-1,-0.2904,46.84423392
-1,-0.258,47.144718
-1,-0.2258,47.44230718
-1,-0.1936,47.73885952
-1,-0.1612,48.03620728
-1,-0.129,48.3306795
-1,-0.0968,48.62411488
-1,-0.0646,48.91651342
-1,-0.0322,49.20968158
-1,0,49.5
-1,0.0322,49.78928158
-1,0.0646,50.07931342
-1,0.0968,50.36651488
-1,0.129,50.6526795
-1,0.1612,50.93780728
-1,0.1936,51.22365952
-1,0.2258,51.50670718
-1,0.258,51.788718
-1,0.2904,52.07143392
-1,0.3226,52.35136462
-1,0.3548,52.63025848
-1,0.387,52.9081155
-1,0.4194,53.18665182
-1,0.4516,53.46242872
-1,0.4838,53.73716878
-1,0.5162,54.01256878
-1,0.5484,54.28522872
-1,0.5806,54.55685182
-1,0.613,54.8291155
-1,0.6452,55.09865848
-1,0.6774,55.36716462
-1,0.7096,55.63463392
-1,0.742,55.902718
-1,0.7742,56.16810718
-1,0.8064,56.43245952
-1,0.8388,56.69740728
-1,0.871,56.9596795
-1,0.9032,57.22091488
-1,0.9354,57.48111342
-1,0.9678,57.74188158
-1,1,58
-0.9678,-1,40.32148158
-0.9678,-0.9678,40.6336316
-0.9678,-0.9354,40.94667392
-0.9678,-0.9032,41.25674382
-0.9678,-0.871,41.56577688
-0.9678,-0.8388,41.8737731
-0.9678,-0.8064,42.18263582
-0.9678,-0.7742,42.48855192
-0.9678,-0.742,42.79343118
-0.9678,-0.7096,43.09915758
-0.9678,-0.6774,43.40195672
-0.9678,-0.6452,43.70371902
-0.9678,-0.613,44.00444448
-0.9678,-0.5806,44.30599128
-0.9678,-0.5484,44.60463662
-0.9678,-0.5162,44.90224512
-0.9678,-0.4838,45.2006556
-0.9678,-0.4516,45.49618398
-0.9678,-0.4194,45.79067552
-0.9678,-0.387,46.08594968
-0.9678,-0.3548,46.3783611
-0.9678,-0.3226,46.66973568
-0.9678,-0.2904,46.96007342
-0.9678,-0.258,47.25116798
-0.9678,-0.2258,47.5394256
-0.9678,-0.1936,47.82664638
-0.9678,-0.1612,48.11460462
-0.9678,-0.129,48.39974528
-0.9678,-0.0968,48.6838491
-0.9678,-0.0646,48.96691608
-0.9678,-0.0322,49.25069472
-0.9678,0,49.53168158
-0.9678,0.0322,49.8116316
-0.9678,0.0646,50.09227392
-0.9678,0.0968,50.37014382
-0.9678,0.129,50.64697688
-0.9678,0.1612,50.9227731
-0.9678,0.1936,51.19923582
-0.9678,0.2258,51.47295192
-0.9678,0.258,51.74563118
-0.9678,0.2904,52.01895758
-0.9678,0.3226,52.28955672
-0.9678,0.3548,52.55911902
-0.9678,0.387,52.82764448
-0.9678,0.4194,53.09679128
-0.9678,0.4516,53.36323662
-0.9678,0.4838,53.62864512
-0.9678,0.5162,53.8946556
-0.9678,0.5484,54.15798398
-0.9678,0.5806,54.42027552
-0.9678,0.613,54.68314968
-0.9678,0.6452,54.9433611
-0.9678,0.6774,55.20253568
-0.9678,0.7096,55.46067342
-0.9678,0.742,55.71936798
-0.9678,0.7742,55.9754256
-0.9678,0.8064,56.23044638
-0.9678,0.8388,56.48600462
-0.9678,0.871,56.73894528
-0.9678,0.9032,56.9908491
-0.9678,0.9354,57.24171608
-0.9678,0.9678,57.49309472
-0.9678,1,57.74188158
-0.9354,-1,40.64391342
-0.9354,-0.9678,40.94667392
-0.9354,-0.9354,41.2502684
-0.9354,-0.9032,41.55094878
-0.9354,-0.871,41.85059232
-0.9354,-0.8388,42.14919902
-0.9354,-0.8064,42.4486139
-0.9354,-0.7742,42.74514048
-0.9354,-0.742,43.04063022
-0.9354,-0.7096,43.33690878
-0.9354,-0.6774,43.6303184
-0.9354,-0.6452,43.92269118
-0.9354,-0.613,44.21402712
-0.9354,-0.5806,44.50612608
-0.9354,-0.5484,44.7953819
-0.9354,-0.5162,45.08360088
-0.9354,-0.4838,45.37256352
-0.9354,-0.4516,45.65870238
-0.9354,-0.4194,45.9438044
-0.9354,-0.387,46.22963072
-0.9354,-0.3548,46.51265262
-0.9354,-0.3226,46.79463768
-0.9354,-0.2904,47.0755859
-0.9354,-0.258,47.35723262
-0.9354,-0.2258,47.63610072
-0.9354,-0.1936,47.91393198
-0.9354,-0.1612,48.19244238
-0.9354,-0.129,48.46819352
-0.9354,-0.0968,48.74290782
-0.9354,-0.0646,49.01658528
-0.9354,-0.0322,49.29091608
-0.9354,0,49.56251342
-0.9354,0.0322,49.83307392
-0.9354,0.0646,50.1042684
-0.9354,0.0968,50.37274878
-0.9354,0.129,50.64019232
-0.9354,0.1612,50.90659902
-0.9354,0.1936,51.1736139
-0.9354,0.2258,51.43794048
-0.9354,0.258,51.70123022
-0.9354,0.2904,51.96510878
-0.9354,0.3226,52.2263184
-0.9354,0.3548,52.48649118
-0.9354,0.387,52.74562712
-0.9354,0.4194,53.00532608
-0.9354,0.4516,53.2623819
-0.9354,0.4838,53.51840088
-0.9354,0.5162,53.77496352
-0.9354,0.5484,54.02890238
-0.9354,0.5806,54.2818044
-0.9354,0.613,54.53523072
-0.9354,0.6452,54.78605262
-0.9354,0.6774,55.03583768
-0.9354,0.7096,55.2845859
-0.9354,0.742,55.53383262
-0.9354,0.7742,55.78050072
-0.9354,0.8064,56.02613198
-0.9354,0.8388,56.27224238
-0.9354,0.871,56.51579352
-0.9354,0.9032,56.75830782
-0.9354,0.9354,56.99978528
-0.9354,0.9678,57.24171608
-0.9354,1,57.48111342
-0.9032,-1,40.96331488
